respondent_id,age,gender,education_level,residence_type,marital_status,relationship_to_hh,province,population_weight,mobile_money_registered,savings_mobile_banking,bank_account_current,bank_account_savings,bank_account_everyday,postbank_account,bank_overdraft,debit_card,credit_card,savings_microfinance,savings_sacco,savings_group_friends,savings_family_friend,savings_secret_place,loan_bank,loan_mobile_banking,loan_sacco,loan_microfinance,loan_shylock,loan_group_chama,loan_govt,loan_employer,loan_family_friend,loan_shopkeeper_cash,loan_goods_credit,loan_digital_app,loan_agri_buyer_supplier,loan_hire_purchase,loan_mortgage,insurance_motor,insurance_home,insurance_crop,insurance_livestock,insurance_nhif,insurance_health_other,insurance_life,insurance_education,insurance_other,pension_nssf,pension_mbao,pension_other,financially_excluded,year,county
23149924,18,Male,Primary,Urban,Single,Son/daughter,Eastern,488.27585,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23076638,20,Female,Primary,Rural,Married/living with partner,Spouse,Rift valley,2843.45,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
24121858,80,Female,,Rural,Widowed,Head,Eastern,1143.6494,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23488772,45,Female,,Rural,Married/living with partner,Spouse,Western,4075.6917,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22832398,80,Male,Primary,Rural,Married/living with partner,Head,Eastern,621.2432,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
22751840,26,Male,Secondary,Urban,Married/living with partner,Head,Eastern,404.4791,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23079522,75,Male,,Rural,Widowed,Head,Eastern,3581.4426,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22477125,74,Female,,Urban,Widowed,Head,Central,3215.4133,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23772116,20,Male,,Rural,Married/living with partner,Head,Rift valley,1258.6626,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22710119,18,Female,Primary,Urban,Single,Father/mother,Eastern,402.49265,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23277902,32,Male,,Rural,Married/living with partner,Head,Eastern,292.51505,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
22471734,32,Female,Primary,Rural,Married/living with partner,Head,Western,2683.1946,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23419929,18,Female,Primary,Rural,Married/living with partner,Spouse,Rift valley,996.6755,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23267270,65,Female,,Rural,Married/living with partner,Spouse,Coast,989.5728,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
24025246,45,Male,Primary,Rural,Married/living with partner,Head,Eastern,2743.232,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23154661,76,Female,,Rural,Widowed,Other relative,Coast,2596.8438,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
